ID,AreaCodeID,CountryID,CountryRelevanceID,Values,FeatureVersionID
19528,11143,11143,1413,"Puerto Vallarta, Jalisco",219528
19529,11143,11143,1413,"Fraccionamiento Santa Isabel, Paseo San Eliseo 1695, Zapopan, Jalisco",219529
19623,11109,11109,1413,"Pasdaran Avenue, Tehran",219623
19625,11109,11109,1413,"P.O. Box 16535-176, Tehran, 16548",219625
19649,11143,11143,1413,"Calle Paseo Humaya No. 1466, Colonia Rincon de Guadalupe, Culiacan, Sinaloa",219649
19650,11143,11143,1413,"Calle Delante No. 1806, Colonia Miguel Hidalgo, Ensenada, Baja California",219650
19651,11143,11143,1413,"Calle Amapola No. 21, Colonia Diez de Mayo, Culiacan de Rosales, Culiacan, Sinaloa",219651
19646,11143,11143,1413,"c/o AUTODROMO CULIACAN, Culiacan, Sinaloa",219646
19647,11143,11143,1413,"Calle Antonio Caso No. 500, Colonia Aurora, Culiacan, Sinaloa",219647
19648,11143,11143,1413,"Calle Mision de Sab Gabriel Arcangel No 2335, Interior A, Colonia Real Nueva Galicia, Culiacan, Sinaloa",219648
19634,11143,11143,1413,"c/o AUTOS MINI, Ensenada, Baja California",219634
19635,11143,11143,1413,"c/o AUTODROMO CULIACAN, Culiacan, Sinaloa",219635
19636,11066,11066,1413,San Bernardino,219636
19637,11143,11143,1413,"Iguala, Guerrero",219637
19638,11143,11143,1413,"Ensenada, Baja California",219638
19639,11143,11143,1413,"Mexicali, Baja California",219639
19640,11143,11143,1413,"La Paz, Baja California Sur",219640
19641,11143,11143,1413,"Avenida Jose Lopez Portillo No. 2031, Culiacan, Sinaloa",219641
19642,11143,11143,1413,"Calle Antonio Caso No. 500, Colonia Aurora, Culiacan, Sinaloa",219642
19643,11143,11143,1413,"Calle Amapola No. 12, Colonia 10 de Mayo, Culiacan, Sinaloa",219643
19644,11143,11143,1413,"Calle Venustiano Carranza No. 34, Colonia Centro, Comondu, Baja California Sur",219644
19645,11143,11143,1413,"Avenida Delante No. 1806, Colonia Miguel Hidalgo, Ensenada, Baja California",219645
19631,11143,11143,1413,"Blvd. Universitarios No. 196 Ote., Piso 4, Colonia Tierra Blanca, Culiacan, Sinaloa",219631
19632,11143,11143,1413,"Carretera Libre, Culiacan-Mazatlan KM 8, Culiacan, Sinaloa",219632
19633,11143,11143,1413,"Constitucion No. 1006 Pte., Esquina con Victoria, Colonia Jorge Almada, Culiacan, Sinaloa",219633
19630,11143,11143,1413,"Avenida Delante, No. 1806, Colonia Costa Bella, Ensenada, Baja California",219630
19672,11126,11126,1413,,219672
19671,11126,11126,1413,Beirut,219671
19670,11126,11126,1413,Beirut,219670
19663,11126,11126,1413,,219663
19664,11066,11066,1413,Maicao,219664
19665,11066,11066,1413,Medellin,219665
19661,11126,11126,1413,Beirut,219661
19662,11066,11066,1413,Maicao,219662
19659,11126,11126,1413,Beirut,219659
19658,11126,11126,1413,Sarafand,219658
19657,11126,11126,1413,"Madame Curie St., Hamra St., Beirut",219657
19655,11162,11162,1413,Colon,219655
19652,11126,11126,1413,"2901 Omar and Khaled Richani Building, Beirut",219652
19653,11126,11126,1413,"2901 Icaria, Ras Beirut",219653
19675,11205,11205,1413,"Sehidler Caddesi No: 79/2 Tuzla, Istanbul, 34940",219675
19678,11205,11205,1413,"DES San. Sitesi, A13 Blok, No. 4 Y. Dudullu, Istanbul, 81260",219678
19679,11205,11205,1413,"Bahariye Cad., No. 44, K6, Kadikoy, Istanbul",219679
19682,11205,11205,1413,"Bagdat Caddesi, Burc Sitesi, Number 117 A Blok D.2, Feneryolu - Kadkoy, Istanbul",219682
19683,11109,11109,1413,"Number 39, Alvand St., 1st Floor, Argentine Square, Tehran",219683
19685,11109,11109,1413,"Number 39, Alvand St., 1st Floor, Argentine Square, Tehran, 1516674311",219685
19686,11109,11109,1413,"1st Apadana St., Number 478, Esfahan, 81658",219686
19688,11109,11109,1413,"Number 39, Alvand St., 1st Floor, Argentine Square, Tehran",219688
19689,11109,11109,1413,"Km 12 Karadj Special Rd., North Chitgar, Rajaii Ave., Number 1, Tehran",219689
19690,11109,11109,1413,"No. 7, Daftari Ave., Zafar St., Shariati St., Tehran",219690
19691,11291,N/A,N/A,,219691
19693,11109,11109,1413,"Number 7 Daftari, Dawudieh, Shariati Avenue, Tehran",219693
19695,11109,11109,1413,"Number 7 Daftari, Dawudieh, Shariati Avenue, Tehran",219695
19696,11291,N/A,N/A,,219696
19698,11291,N/A,N/A,,219698
19699,11291,N/A,N/A,,219699
19705,11160,11160,1413,Peshawar,219705
19706,11160,11160,1413,"Near Dirgha Mundei Madrassa, in Dirgha Mundei Village, near Miram Shah, North Waziristan Agency (NWA), FATA",219706
19707,11160,11160,1413,"Kayla Village, near Miram Shah, North Waziristan Agency (NWA), FATA",219707
19708,11029,11029,1413,"Sarana Zadran Village, Paktia",219708
19709,11291,N/A,N/A,,219709
19732,11291,N/A,N/A,,219732
19733,11291,N/A,N/A,,219733
19734,11291,N/A,N/A,,219734
19735,11291,N/A,N/A,,219735
19736,11291,N/A,N/A,,219736
19738,11210,11210,1413,"P.O. Box 56351, Dubai",219738
19739,11210,11210,1413,"Hamad Bin Ali Alowais Building, Al Suq Al Kabeer Street, Deira, Dubai",219739
19740,11210,11210,1413,"Humaid Bin Ali Alowais Building, Al Suq Al Kabeer Street, Deira, Al Bateen, Dubai",219740
19741,11210,11210,1413,"Gargash Center, Shop No 114, Dubai",219741
19743,11029,11029,1413,"Shop No. 93, 1st Floor, Sarai Shahzada Market, Kabul",219743
19744,11029,11029,1413,"Pul-i-Baghe Omomee, Shahzada Money Market, Kabul",219744
19745,11029,11029,1413,"Shahr-i-Naw, Kabul",219745
19746,11029,11029,1413,"2nd Floor, Soraj Nazeer Market, Shop No. 30-301, Kabul",219746
19747,11029,11029,1413,"1st Street, Madat Intersection, Sharif Market, Kandahar",219747
19748,11029,11029,1413,"Afghan United Bank Building, Hayratan",219748
19749,11029,11029,1413,"Afghan United Bank Building, Hairatan",219749
19750,11029,11029,1413,"Herat New City, Behzad Intersection, Next to 10th Intersection, Herat",219750
19751,11029,11029,1413,Jalalabad,219751
19752,11029,11029,1413,"30 Meters Street, Sharif, Nimroz",219752
19753,11029,11029,1413,"Spin Boldak, Kandahar",219753
19754,11210,11210,1413,Dubai,219754
19756,11029,11029,1413,"Shahri Naw Turah Baz Khan Street, Kabul",219756
19757,11029,11029,1413,Kandahar,219757
19758,11029,11029,1413,Helmand,219758
19759,11029,11029,1413,Farah,219759
19760,11029,11029,1413,Nimroz,219760
19761,11029,11029,1413,Urozgan,219761
19762,11029,11029,1413,Herat,219762
19763,11029,11029,1413,Badghis,219763
19764,11029,11029,1413,Mazar-i-Sharif,219764
19765,11029,11029,1413,Qundoz,219765
19766,11029,11029,1413,Jalalabad,219766
19767,11029,11029,1413,Ghanzi,219767
19768,11029,11029,1413,Ghazni,219768
19770,11210,11210,1413,"P.O. Box 56351, Dubai",219770
19771,11210,11210,1413,"Nasr Square, Opposite Car Park Building, Shop No. 5, Dubai",219771
19772,11210,11210,1413,"Naser Square, RPA Carpet Building, Shop No. 5, Deira, Dubai",219772
19773,11210,11210,1413,"Al Souk Al Kbirr Street, Near Gargash Center, Deira, Dubai",219773
19775,11210,11210,1413,"P.O. Box 63826, Dubai",219775
19776,11210,11210,1413,"Al Owais Tower, 15th Floor, Office No. 1506, Creek Area, Near Twin Towers, Dubai",219776
19777,11210,11210,1413,"Gargash Center, Shop No. 2, Dubai",219777
19778,11210,11210,1413,"Gargash Center, Shop No. 114, Dubai",219778
19788,11029,11029,1413,,219788
19790,11029,11029,1413,c/o NEW ANSARI MONEY EXCHANGE,219790
19796,11029,11029,1413,c/o NEW ANSARI MONEY EXCHANGE,219796
19798,11029,11029,1413,c/o NEW ANSARI MONEY EXCHANGE,219798
19799,11210,11210,1413,c/o GREEN LEAF GENERAL TRADING LLC,219799
19800,11210,11210,1413,c/o CONNECT TELECOM GENERAL TRADING LLC,219800
19804,11291,N/A,N/A,,219804
19805,11291,N/A,N/A,,219805
19813,11109,11109,1413,"Tehran Revolutionary and Public Court, Office of Tehran Prosecutor, Arag Circle, Tehran",219813
19808,11291,N/A,N/A,,219808
19810,11108,11108,1413,"Jl. M Saidi RT 010 RW 001 Pesanggrahan, South Petukangan, South Jakarta",219810
19811,11108,11108,1413,"Jl. Nakula of Witana Harja Complex, Block C, Pamulang, Tangerang, Banten",219811
19812,11291,N/A,N/A,,219812
19815,11094,11094,1413,"80331 Muenchen, Bayern",219815
19819,11094,11094,1413,"Noerdliche Auffahrtsallee 13, 80638, Muenchen, Bayern",219819
19820,11094,11094,1413,"Klugstrasse 71, 80637, Munich",219820
19827,11096,11096,1413,,219827
19828,11291,N/A,N/A,,219828
19829,11291,N/A,N/A,,219829
19830,11291,N/A,N/A,,219830
19831,11291,N/A,N/A,,219831
43599,11159,11159,1413,,243599
19864,11029,11029,1413,"Sangin District, Helmand Province",219864
20908,11210,11210,1413,"Bahar 1 Sector, C09-T02 Tower, Apartment 3203, Dubai, 31672",220908
35170,11210,11210,1413,"Murjan 6, Jumeirah Beach Residences, Dubai",235170
19866,11291,N/A,N/A,,219866
19867,11291,N/A,N/A,,219867
19868,11291,N/A,N/A,,219868
19869,11291,N/A,N/A,,219869
19871,11291,N/A,N/A,,219871
43600,11129,11129,1413,,243600
43601,11082,11082,1413,,243601
19873,11291,N/A,N/A,,219873
19874,11291,N/A,N/A,,219874
19875,11291,N/A,N/A,,219875
19949,11291,N/A,N/A,,219949
19950,11291,N/A,N/A,,219950
19951,11291,N/A,N/A,,219951
19975,11291,N/A,N/A,,219975
19977,11129,11129,1413,"Hay Elandadlus - Jian St, P.O. Box 1101, Tripoli",219977
19978,11196,11196,1413,"22, Rue Henri-Mussard, Geneva, 1208",219978
19980,11129,11129,1413,"Omar Almukhtar Street, Tripoli",219980
19982,11291,N/A,N/A,,219982
19983,11291,N/A,N/A,,219983
19984,11291,N/A,N/A,,219984
19995,11120,11120,1413,"PO Box 32, BEL Building, Jonseung-Dong, Moranbong District, Pyongyang",219995
20049,11291,N/A,N/A,,220049
50122,11197,11197,1413,,250122
43955,11197,11197,1413,Damascus,243955
20055,11197,11197,1413,,220055
20139,11109,11109,1413,Tehran,220139
40536,11197,11197,1413,,240536
20065,11291,N/A,N/A,,220065
43956,11197,11197,1413,Damascus,243956
20070,11291,N/A,N/A,,220070
20071,11291,N/A,N/A,,220071
